Name,discrete
samplenew3_00043973,sad
samplenew3_00010321,happy
samplenew3_00086154,sad
samplenew3_00003258,angry
samplenew3_00010237,sad
samplenew3_00006734,sad
samplenew3_00098205,sad
samplenew3_00107424,happy
samplenew3_00112729,happy
samplenew4_00010588,happy
samplenew3_00000062,fear
samplenew3_00064602,sad
samplenew3_00088844,happy
samplenew3_00068809,happy
samplenew3_00074513,happy
samplenew3_00014880,happy
samplenew3_00083048,happy
samplenew3_00066761,happy
samplenew4_00001733,happy
samplenew3_00081002,angry
samplenew3_00024281,happy
samplenew3_00102548,sad
samplenew3_00001017,angry
samplenew3_00074215,happy
samplenew3_00072647,happy
samplenew3_00017892,neutral
samplenew3_00049013,sad
samplenew3_00006169,happy
samplenew3_00002055,happy
samplenew3_00033964,neutral
samplenew3_00010059,happy
samplenew3_00022448,happy
samplenew3_00066480,happy
samplenew3_00012161,fear
samplenew3_00042567,happy
samplenew3_00008894,angry
samplenew3_00032482,fear
samplenew3_00009384,happy
samplenew3_00065759,fear
samplenew3_00050632,happy
samplenew3_00037277,angry
samplenew3_00088342,angry
samplenew3_00072775,happy
samplenew3_00013563,angry
samplenew4_00006661,happy
samplenew3_00085750,happy
samplenew3_00030261,angry
samplenew4_00002670,happy
samplenew3_00022658,happy
samplenew3_00013110,happy
samplenew3_00067338,happy
samplenew3_00053906,neutral
samplenew4_00003622,happy
samplenew3_00068598,happy
samplenew3_00095086,happy
samplenew3_00084700,neutral
samplenew3_00087225,neutral
samplenew3_00035790,happy
samplenew3_00070646,neutral
samplenew3_00022959,angry
samplenew4_00003859,happy
samplenew3_00097007,happy
samplenew3_00028740,happy
samplenew3_00082735,happy
samplenew3_00053801,neutral
samplenew3_00062578,happy
samplenew3_00049199,happy
samplenew3_00100510,happy
samplenew3_00082591,happy
samplenew3_00092598,happy
samplenew3_00092195,happy
samplenew3_00035976,happy
samplenew3_00032014,happy
samplenew3_00007393,happy
samplenew3_00032041,happy
samplenew3_00086908,angry
samplenew3_00036405,sad
samplenew3_00038824,happy
samplenew3_00032183,happy
samplenew3_00044411,happy
samplenew3_00043028,angry
samplenew3_00099910,happy
samplenew3_00104503,happy
samplenew3_00024034,happy
samplenew3_00069164,happy
samplenew3_00093842,happy
samplenew3_00088286,fear
samplenew3_00049018,angry
samplenew3_00039249,happy
samplenew3_00113834,happy
samplenew3_00078047,happy
samplenew3_00099535,neutral
samplenew3_00051422,happy
samplenew3_00106992,happy
samplenew3_00015200,happy
